// Items Additional Database
//
// Structure of Database:
// ID,Name,Name,Type,Price,Sell,Weight,ATK[:MATK],DEF,Range,Slot,Job,Class,Gender,Loc,wLV,eLV[:maxLevel],Refineable,View,{ Script },{ OnEquip_Script },{ OnUnequip_Script }
//

25773,Snake_Poison,Snake Poison,3,0,,10,,,,,,,,,,,,,{},{},{}
25774,Mantis_Flower,Mantis Flower,3,0,,10,,,,,,,,,,,,,{},{},{}
25775,Fluffy_Cloth_Piece,Fluffy Cloth Piece,3,0,,10,,,,,,,,,,,,,{},{},{}
25776,Very_Hard_Purple_Shell,Very Hard Purple Shell,3,0,,10,,,,,,,,,,,,,{},{},{}
25777,Doubtful_Sap,Doubtful Sap,3,0,,10,,,,,,,,,,,,,{},{},{}
25778,Twinkle_Jelly_Piece,Twinkle Jelly Piece,3,0,,10,,,,,,,,,,,,,{},{},{}
25779,Short_Lasso,Short Lasso,3,0,,10,,,,,,,,,,,,,{},{},{}
25780,Demonic_Essence,Demonic Essence,3,0,,10,,,,,,,,,,,,,{},{},{}
25781,Small_Pretty_Candle,Small Pretty Candle,3,0,,10,,,,,,,,,,,,,{},{},{}
25782,Medicine_Bag,Medicine Bag,3,0,,10,,,,,,,,,,,,,{},{},{}
25783,Cold_Holy_Water,Cold Holy Water,3,0,,10,,,,,,,,,,,,,{},{},{}
25784,Small_Flashlight,Small Flashlight,3,0,,10,,,,,,,,,,,,,{},{},{}

31024,Immortal_Cursed_Knight_Card,Immortal Cursed Knight Card,6,20,,10,,,,,,,,2,,,,,{ bonus2 bAddClass,Class_All,10; bonus5 bAutoSpell,"RK_IGNITIONBREAK",5,20,BF_WEAPON,1; },{},{}
31025,Immortal_Wind_Ghost_Card,Immortal Wind Ghost Card,6,20,,10,,,,,,,,2,,,,,{ bonus bMatkRate,10; bonus5 bAutoSpell,"SO_CLOUD_KILL",5,10,BF_MAGIC,1; },{},{}
31026,Stephen_Jack_Ernest_Wolf_Card,Stephen Jack Ernest Wolf Card,6,20,,10,,,,,,,,64,,,,,{ bonus5 bAutoSpellWhenHit,"SO_FIREWALK",5,35,BF_WEAPON,0; bonus5 bAutoSpellWhenHit,"SO_ELECTRICWALK",5,80,BF_MAGIC,0; autobonus "{ bonus bFlee,200; }",30,10000,BF_WEAPON; autobonus "{ bonus bSpeedRate,25; }",25,10000,BF_MAGIC; /* unknown rate and specialeffect */ },{},{}
